ESCRITORIO REMOTO
Secure Shell
Internet Small Computer System Interface
Elastic File System
TRASPORTE DE AUDIO Y VIDEO
Windows Image Acquisition
Windows Management Instrumentation
Near field communication
SERVICIO AISLMINETO DE CALVES
SERVICIO DE RED
IDENTIFICADOR DE INTERFACES
CAPTURA MENSAJES AGENTES LOCALES
ALMACENA NOMBRES DE DOMINIOS
TRADUCCION DE DIRECCIONES DE RED
INTERACTURA CON LOS SERVICIO QUE SE EJECUTAN EN EL HOST
Server Message Block,
CONTADOR DE RENDIMIENTO
PRPORCIONA CONPATIBILIDAD CON INFRAESTRUCTURA
ENRUTA MENSAJES
SYNAPTICS FP POLICY SERVICE
DETECTAR DISPOSITIVOS Y SERVICIOS DE RED
